ranking_date,entry_date,exit_date,strategy_id,total_pnl,long_pnl,short_pnl,n_positions,n_portfolio_universe,n_ranked_in_universe,n_ranked_ignored,n_missing_rankings
20260401,20260402,20260406,20260517__Anthropic__Haiku4_5__LinearNeutral,-123.64,89.88,-213.52,503,503,503,0,0
20260402,20260406,20260407,20260517__Anthropic__Haiku4_5__LinearNeutral,327.33,57.91,269.42,503,503,503,0,0
20260406,20260407,20260408,20260517__Anthropic__Haiku4_5__LinearNeutral,82.6,685.82,-603.22,503,503,503,0,0
20260407,20260408,20260409,20260517__Anthropic__Haiku4_5__LinearNeutral,241.66,89.49,152.17,503,503,503,0,0
20260408,20260409,20260410,20260517__Anthropic__Haiku4_5__LinearNeutral,256.07,-144.84,400.91,503,503,503,0,0
20260409,20260410,20260413,20260517__Anthropic__Haiku4_5__LinearNeutral,-209.1,333.77,-542.87,503,503,503,0,0
20260410,20260413,20260414,20260517__Anthropic__Haiku4_5__LinearNeutral,44.97,142.57,-97.6,503,503,503,0,0
20260413,20260414,20260415,20260517__Anthropic__Haiku4_5__LinearNeutral,-395.8,-127.48,-268.33,503,503,503,0,0
20260414,20260415,20260416,20260517__Anthropic__Haiku4_5__LinearNeutral,-60.25,159.22,-219.47,503,503,503,0,0
20260415,20260416,20260417,20260517__Anthropic__Haiku4_5__LinearNeutral,448.37,573.46,-125.09,503,503,503,0,0
20260416,20260417,20260420,20260517__Anthropic__Haiku4_5__LinearNeutral,165.97,188.35,-22.39,503,503,503,0,0
20260417,20260420,20260421,20260517__Anthropic__Haiku4_5__LinearNeutral,16.16,-143.03,159.19,503,503,503,0,0
20260420,20260421,20260422,20260517__Anthropic__Haiku4_5__LinearNeutral,-19.31,15.77,-35.08,503,503,503,0,0
20260421,20260422,20260423,20260517__Anthropic__Haiku4_5__LinearNeutral,-21.8,-2.09,-19.71,503,503,503,0,0
20260422,20260423,20260424,20260517__Anthropic__Haiku4_5__LinearNeutral,242.48,52.96,189.52,503,503,503,0,0
20260423,20260424,20260427,20260517__Anthropic__Haiku4_5__LinearNeutral,81.79,-24.77,106.55,503,503,503,0,0
20260424,20260427,20260428,20260517__Anthropic__Haiku4_5__LinearNeutral,-373.3,-305.61,-67.69,503,503,503,0,0
20260427,20260428,20260429,20260517__Anthropic__Haiku4_5__LinearNeutral,166.2,107.2,59.0,503,503,503,0,0
20260428,20260429,20260430,20260517__Anthropic__Haiku4_5__LinearNeutral,247.04,601.02,-353.97,503,503,503,0,0
20260429,20260430,20260501,20260517__Anthropic__Haiku4_5__LinearNeutral,192.29,35.77,156.52,503,503,503,0,0
20260430,20260501,20260504,20260517__Anthropic__Haiku4_5__LinearNeutral,-34.04,-204.67,170.63,503,503,503,0,0
20260501,20260504,20260505,20260517__Anthropic__Haiku4_5__LinearNeutral,331.14,394.23,-63.09,503,503,503,0,0
20260504,20260505,20260506,20260517__Anthropic__Haiku4_5__LinearNeutral,381.16,455.19,-74.03,503,503,503,0,0
20260505,20260506,20260507,20260517__Anthropic__Haiku4_5__LinearNeutral,-201.46,-296.43,94.97,503,503,503,0,0
20260506,20260507,20260508,20260517__Anthropic__Haiku4_5__LinearNeutral,886.27,537.78,348.49,503,503,503,0,0
20260507,20260508,20260511,20260517__Anthropic__Haiku4_5__LinearNeutral,298.54,93.88,204.66,503,503,503,0,0
20260508,20260511,20260512,20260517__Anthropic__Haiku4_5__LinearNeutral,-315.68,-161.88,-153.79,503,503,503,0,0
20260511,20260512,20260513,20260517__Anthropic__Haiku4_5__LinearNeutral,558.52,180.22,378.3,503,503,503,0,0
20260512,20260513,20260514,20260517__Anthropic__Haiku4_5__LinearNeutral,-126.8,80.26,-207.06,503,503,503,0,0
20260513,20260514,20260515,20260517__Anthropic__Haiku4_5__LinearNeutral,-176.31,-403.21,226.9,503,503,503,0,0
20260514,20260515,20260518,20260517__Anthropic__Haiku4_5__LinearNeutral,-554.32,-55.08,-499.24,503,503,503,0,0
20260515,20260518,20260519,20260517__Anthropic__Haiku4_5__LinearNeutral,-68.93,-231.58,162.65,503,503,503,0,0
20260518,20260519,20260520,20260517__Anthropic__Haiku4_5__LinearNeutral,-396.13,202.38,-598.51,503,503,503,0,0
20260519,20260520,20260521,20260517__Anthropic__Haiku4_5__LinearNeutral,-202.3,29.01,-231.31,502,503,503,0,0
20260520,20260521,20260522,20260517__Anthropic__Haiku4_5__LinearNeutral,212.81,406.58,-193.77,502,503,503,0,0
