ranking_date,entry_date,exit_date,strategy_id,total_pnl,long_pnl,short_pnl,n_positions,n_portfolio_universe,n_ranked_in_universe,n_ranked_ignored,n_missing_rankings
20260430,20260501,20260504,20260517__Anthropic__Opus4_6__LinearNeutral,49.57,-179.83,229.4,503,503,503,0,0
20260501,20260504,20260505,20260517__Anthropic__Opus4_6__LinearNeutral,-82.63,188.47,-271.1,503,503,503,0,0
20260504,20260505,20260506,20260517__Anthropic__Opus4_6__LinearNeutral,-44.88,170.67,-215.55,503,503,503,0,0
20260505,20260506,20260507,20260517__Anthropic__Opus4_6__LinearNeutral,219.97,-53.85,273.82,503,503,503,0,0
20260506,20260507,20260508,20260517__Anthropic__Opus4_6__LinearNeutral,91.3,36.11,55.19,503,503,503,0,0
20260507,20260508,20260511,20260517__Anthropic__Opus4_6__LinearNeutral,33.67,-85.84,119.51,503,503,503,0,0
20260508,20260511,20260512,20260517__Anthropic__Opus4_6__LinearNeutral,3.01,36.04,-33.03,503,503,503,0,0
20260511,20260512,20260513,20260517__Anthropic__Opus4_6__LinearNeutral,24.16,-201.15,225.31,503,503,503,0,0
20260512,20260513,20260514,20260517__Anthropic__Opus4_6__LinearNeutral,28.59,150.68,-122.09,503,503,503,0,0
20260513,20260514,20260515,20260517__Anthropic__Opus4_6__LinearNeutral,-30.61,-298.39,267.78,503,503,503,0,0
20260514,20260515,20260518,20260517__Anthropic__Opus4_6__LinearNeutral,123.07,327.61,-204.54,503,503,503,0,0
20260515,20260518,20260519,20260517__Anthropic__Opus4_6__LinearNeutral,-56.6,-195.48,138.87,503,503,503,0,0
20260518,20260519,20260520,20260517__Anthropic__Opus4_6__LinearNeutral,-17.6,319.94,-337.54,503,503,503,0,0
