ranking_date,entry_date,exit_date,strategy_id,total_pnl,long_pnl,short_pnl,n_positions,n_portfolio_universe,n_ranked_in_universe,n_ranked_ignored,n_missing_rankings
20260401,20260402,20260406,20260517__Google__Gemini2_5Flash__LinearNeutral,15.78,175.03,-159.25,503,503,503,0,0
20260402,20260406,20260407,20260517__Google__Gemini2_5Flash__LinearNeutral,-287.72,-241.0,-46.72,503,503,503,0,0
20260406,20260407,20260408,20260517__Google__Gemini2_5Flash__LinearNeutral,-481.22,525.02,-1006.25,503,503,503,0,0
20260407,20260408,20260409,20260517__Google__Gemini2_5Flash__LinearNeutral,-263.39,-153.91,-109.49,503,503,503,0,0
20260408,20260409,20260410,20260517__Google__Gemini2_5Flash__LinearNeutral,-294.29,-330.03,35.74,503,503,503,0,0
20260409,20260410,20260413,20260517__Google__Gemini2_5Flash__LinearNeutral,300.66,607.82,-307.17,503,503,503,0,0
20260410,20260413,20260414,20260517__Google__Gemini2_5Flash__LinearNeutral,-228.54,17.24,-245.77,503,503,503,0,0
20260413,20260414,20260415,20260517__Google__Gemini2_5Flash__LinearNeutral,-271.98,-111.19,-160.8,503,503,503,0,0
20260414,20260415,20260416,20260517__Google__Gemini2_5Flash__LinearNeutral,282.83,315.35,-32.52,503,503,503,0,0
20260415,20260416,20260417,20260517__Google__Gemini2_5Flash__LinearNeutral,-172.76,250.01,-422.77,503,503,503,0,0
20260416,20260417,20260420,20260517__Google__Gemini2_5Flash__LinearNeutral,-255.81,-12.85,-242.96,503,503,503,0,0
20260417,20260420,20260421,20260517__Google__Gemini2_5Flash__LinearNeutral,47.7,-185.92,233.62,503,503,503,0,0
20260420,20260421,20260422,20260517__Google__Gemini2_5Flash__LinearNeutral,-6.88,29.14,-36.02,503,503,503,0,0
20260421,20260422,20260423,20260517__Google__Gemini2_5Flash__LinearNeutral,518.1,191.75,326.35,503,503,503,0,0
20260422,20260423,20260424,20260517__Google__Gemini2_5Flash__LinearNeutral,-322.83,-184.28,-138.56,503,503,503,0,0
20260423,20260424,20260427,20260517__Google__Gemini2_5Flash__LinearNeutral,34.19,-55.55,89.74,503,503,503,0,0
20260424,20260427,20260428,20260517__Google__Gemini2_5Flash__LinearNeutral,225.51,-61.59,287.11,503,503,503,0,0
20260427,20260428,20260429,20260517__Google__Gemini2_5Flash__LinearNeutral,-249.16,-201.96,-47.2,503,503,503,0,0
20260428,20260429,20260430,20260517__Google__Gemini2_5Flash__LinearNeutral,311.14,600.05,-288.91,503,503,503,0,0
20260429,20260430,20260501,20260517__Google__Gemini2_5Flash__LinearNeutral,-224.22,-202.13,-22.09,503,503,503,0,0
20260430,20260501,20260504,20260517__Google__Gemini2_5Flash__LinearNeutral,-38.8,-203.0,164.2,503,503,503,0,0
20260501,20260504,20260505,20260517__Google__Gemini2_5Flash__LinearNeutral,-112.57,180.09,-292.67,503,503,503,0,0
20260504,20260505,20260506,20260517__Google__Gemini2_5Flash__LinearNeutral,561.15,528.9,32.25,503,503,503,0,0
20260505,20260506,20260507,20260517__Google__Gemini2_5Flash__LinearNeutral,107.61,-97.37,204.98,503,503,503,0,0
20260506,20260507,20260508,20260517__Google__Gemini2_5Flash__LinearNeutral,-755.64,-301.26,-454.38,503,503,503,0,0
20260507,20260508,20260511,20260517__Google__Gemini2_5Flash__LinearNeutral,339.42,73.45,265.97,503,503,503,0,0
20260508,20260511,20260512,20260517__Google__Gemini2_5Flash__LinearNeutral,324.5,157.03,167.47,503,503,503,0,0
20260511,20260512,20260513,20260517__Google__Gemini2_5Flash__LinearNeutral,-570.35,-421.8,-148.55,503,503,503,0,0
20260512,20260513,20260514,20260517__Google__Gemini2_5Flash__LinearNeutral,70.19,189.41,-119.22,503,503,503,0,0
20260513,20260514,20260515,20260517__Google__Gemini2_5Flash__LinearNeutral,65.81,-266.66,332.46,503,503,503,0,0
20260514,20260515,20260518,20260517__Google__Gemini2_5Flash__LinearNeutral,278.96,378.28,-99.32,503,503,503,0,0
20260515,20260518,20260519,20260517__Google__Gemini2_5Flash__LinearNeutral,-123.18,-247.07,123.89,503,503,503,0,0
20260518,20260519,20260520,20260517__Google__Gemini2_5Flash__LinearNeutral,583.8,675.28,-91.48,503,503,503,0,0
20260519,20260520,20260521,20260517__Google__Gemini2_5Flash__LinearNeutral,250.2,189.88,60.32,502,503,503,0,0
20260520,20260521,20260522,20260517__Google__Gemini2_5Flash__LinearNeutral,-116.57,217.92,-334.49,502,503,503,0,0
20260521,20260522,20260526,20260517__Google__Gemini2_5Flash__LinearNeutral,-20.93,117.69,-138.62,502,503,503,0,0
20260522,20260526,20260527,20260517__Google__Gemini2_5Flash__LinearNeutral,-114.08,-39.01,-75.07,503,503,503,1,0
20260526,20260527,20260528,20260517__Google__Gemini2_5Flash__LinearNeutral,-171.4,66.02,-237.42,503,503,503,1,0
20260527,20260528,20260529,20260517__Google__Gemini2_5Flash__LinearNeutral,-458.81,-194.15,-264.66,503,503,503,1,0
20260528,20260529,20260601,20260517__Google__Gemini2_5Flash__LinearNeutral,-467.23,-213.1,-254.13,503,503,503,1,0
20260529,20260601,20260602,20260517__Google__Gemini2_5Flash__LinearNeutral,329.47,156.24,173.22,503,503,503,1,0
