ranking_date,entry_date,exit_date,strategy_id,total_pnl,long_pnl,short_pnl,n_positions,n_portfolio_universe,n_ranked_in_universe,n_ranked_ignored,n_missing_rankings
20260401,20260402,20260406,20260517__Google__Gemini2_5Pro__LinearNeutral,-21.35,116.08,-137.43,503,503,503,0,0
20260402,20260406,20260407,20260517__Google__Gemini2_5Pro__LinearNeutral,-63.44,-88.0,24.56,503,503,503,0,0
20260406,20260407,20260408,20260517__Google__Gemini2_5Pro__LinearNeutral,-795.91,234.56,-1030.47,503,503,503,0,0
20260407,20260408,20260409,20260517__Google__Gemini2_5Pro__LinearNeutral,-124.82,-35.58,-89.24,503,503,503,0,0
20260408,20260409,20260410,20260517__Google__Gemini2_5Pro__LinearNeutral,-208.55,-319.89,111.34,503,503,503,0,0
20260409,20260410,20260413,20260517__Google__Gemini2_5Pro__LinearNeutral,-356.25,144.75,-501.0,503,503,503,0,0
20260410,20260413,20260414,20260517__Google__Gemini2_5Pro__LinearNeutral,-450.82,-95.63,-355.19,503,503,503,0,0
20260413,20260414,20260415,20260517__Google__Gemini2_5Pro__LinearNeutral,-176.93,-77.46,-99.48,503,503,503,0,0
20260414,20260415,20260416,20260517__Google__Gemini2_5Pro__LinearNeutral,284.78,296.84,-12.06,503,503,503,0,0
20260415,20260416,20260417,20260517__Google__Gemini2_5Pro__LinearNeutral,-528.13,31.13,-559.25,503,503,503,0,0
20260416,20260417,20260420,20260517__Google__Gemini2_5Pro__LinearNeutral,-206.64,-2.73,-203.91,503,503,503,0,0
20260417,20260420,20260421,20260517__Google__Gemini2_5Pro__LinearNeutral,-52.73,-195.45,142.72,503,503,503,0,0
20260420,20260421,20260422,20260517__Google__Gemini2_5Pro__LinearNeutral,0.41,26.95,-26.54,503,503,503,0,0
20260421,20260422,20260423,20260517__Google__Gemini2_5Pro__LinearNeutral,902.93,309.95,592.98,503,503,503,0,0
20260422,20260423,20260424,20260517__Google__Gemini2_5Pro__LinearNeutral,-193.39,-157.1,-36.29,503,503,503,0,0
20260423,20260424,20260427,20260517__Google__Gemini2_5Pro__LinearNeutral,66.07,-28.73,94.8,503,503,503,0,0
20260424,20260427,20260428,20260517__Google__Gemini2_5Pro__LinearNeutral,37.29,-102.22,139.51,503,503,503,0,0
20260427,20260428,20260429,20260517__Google__Gemini2_5Pro__LinearNeutral,-451.11,-263.98,-187.13,503,503,503,0,0
20260428,20260429,20260430,20260517__Google__Gemini2_5Pro__LinearNeutral,249.86,601.19,-351.33,503,503,503,0,0
20260429,20260430,20260501,20260517__Google__Gemini2_5Pro__LinearNeutral,-55.87,-97.15,41.28,503,503,503,0,0
20260430,20260501,20260504,20260517__Google__Gemini2_5Pro__LinearNeutral,-274.08,-313.89,39.81,503,503,503,0,0
20260501,20260504,20260505,20260517__Google__Gemini2_5Pro__LinearNeutral,16.33,217.88,-201.55,503,503,503,0,0
20260504,20260505,20260506,20260517__Google__Gemini2_5Pro__LinearNeutral,583.58,504.88,78.7,503,503,503,0,0
20260505,20260506,20260507,20260517__Google__Gemini2_5Pro__LinearNeutral,-302.69,-272.02,-30.68,503,503,503,0,0
20260506,20260507,20260508,20260517__Google__Gemini2_5Pro__LinearNeutral,-228.63,-89.02,-139.61,503,503,503,0,0
20260507,20260508,20260511,20260517__Google__Gemini2_5Pro__LinearNeutral,414.55,96.37,318.18,503,503,503,0,0
20260508,20260511,20260512,20260517__Google__Gemini2_5Pro__LinearNeutral,164.72,72.89,91.84,503,503,503,0,0
20260511,20260512,20260513,20260517__Google__Gemini2_5Pro__LinearNeutral,-148.54,-256.17,107.64,503,503,503,0,0
20260512,20260513,20260514,20260517__Google__Gemini2_5Pro__LinearNeutral,130.55,184.33,-53.79,503,503,503,0,0
20260513,20260514,20260515,20260517__Google__Gemini2_5Pro__LinearNeutral,-140.64,-375.92,235.29,503,503,503,0,0
20260514,20260515,20260518,20260517__Google__Gemini2_5Pro__LinearNeutral,291.05,409.27,-118.22,503,503,503,0,0
20260515,20260518,20260519,20260517__Google__Gemini2_5Pro__LinearNeutral,-171.78,-265.96,94.19,503,503,503,0,0
20260518,20260519,20260520,20260517__Google__Gemini2_5Pro__LinearNeutral,375.11,548.18,-173.07,503,503,503,0,0
20260519,20260520,20260521,20260517__Google__Gemini2_5Pro__LinearNeutral,193.47,223.95,-30.48,502,503,503,0,0
20260520,20260521,20260522,20260517__Google__Gemini2_5Pro__LinearNeutral,105.73,326.12,-220.38,502,503,503,0,0
20260521,20260522,20260526,20260517__Google__Gemini2_5Pro__LinearNeutral,329.73,279.44,50.29,502,503,503,0,0
20260522,20260526,20260527,20260517__Google__Gemini2_5Pro__LinearNeutral,-251.16,-116.97,-134.18,503,503,503,1,0
20260526,20260527,20260528,20260517__Google__Gemini2_5Pro__LinearNeutral,-365.81,-27.38,-338.43,503,503,503,1,0
20260527,20260528,20260529,20260517__Google__Gemini2_5Pro__LinearNeutral,-340.2,-180.38,-159.82,503,503,503,1,0
20260528,20260529,20260601,20260517__Google__Gemini2_5Pro__LinearNeutral,30.56,32.15,-1.59,503,503,503,1,0
20260529,20260601,20260602,20260517__Google__Gemini2_5Pro__LinearNeutral,282.74,150.19,132.55,503,503,503,1,0
