ranking_date,entry_date,exit_date,strategy_id,total_pnl,long_pnl,short_pnl,n_positions,n_portfolio_universe,n_ranked_in_universe,n_ranked_ignored,n_missing_rankings
20260401,20260402,20260406,20260517__OpenAI__GPT4o__LinearNeutral,43.02,167.55,-124.52,503,503,503,0,0
20260402,20260406,20260407,20260517__OpenAI__GPT4o__LinearNeutral,-155.63,-173.13,17.5,503,503,503,0,0
20260406,20260407,20260408,20260517__OpenAI__GPT4o__LinearNeutral,-58.5,751.72,-810.22,503,503,503,0,0
20260407,20260408,20260409,20260517__OpenAI__GPT4o__LinearNeutral,-82.47,-8.9,-73.57,503,503,503,0,0
20260408,20260409,20260410,20260517__OpenAI__GPT4o__LinearNeutral,134.41,-197.58,331.99,503,503,503,0,0
20260409,20260410,20260413,20260517__OpenAI__GPT4o__LinearNeutral,422.74,651.51,-228.76,503,503,503,0,0
20260410,20260413,20260414,20260517__OpenAI__GPT4o__LinearNeutral,-141.17,45.45,-186.62,503,503,503,0,0
20260413,20260414,20260415,20260517__OpenAI__GPT4o__LinearNeutral,-501.98,-199.27,-302.71,503,503,503,0,0
20260414,20260415,20260416,20260517__OpenAI__GPT4o__LinearNeutral,298.8,332.12,-33.31,503,503,503,0,0
20260415,20260416,20260417,20260517__OpenAI__GPT4o__LinearNeutral,237.42,515.42,-278.0,503,503,503,0,0
20260416,20260417,20260420,20260517__OpenAI__GPT4o__LinearNeutral,53.32,97.32,-44.0,503,503,503,0,0
20260417,20260420,20260421,20260517__OpenAI__GPT4o__LinearNeutral,158.65,-87.73,246.37,503,503,503,0,0
20260420,20260421,20260422,20260517__OpenAI__GPT4o__LinearNeutral,109.35,62.07,47.28,503,503,503,0,0
20260421,20260422,20260423,20260517__OpenAI__GPT4o__LinearNeutral,369.3,142.19,227.11,503,503,503,0,0
20260422,20260423,20260424,20260517__OpenAI__GPT4o__LinearNeutral,-170.49,-144.45,-26.04,503,503,503,0,0
20260423,20260424,20260427,20260517__OpenAI__GPT4o__LinearNeutral,-13.09,-72.68,59.59,503,503,503,0,0
20260424,20260427,20260428,20260517__OpenAI__GPT4o__LinearNeutral,-107.67,-191.34,83.67,503,503,503,0,0
20260427,20260428,20260429,20260517__OpenAI__GPT4o__LinearNeutral,254.55,88.99,165.56,503,503,503,0,0
20260428,20260429,20260430,20260517__OpenAI__GPT4o__LinearNeutral,326.55,635.52,-308.97,503,503,503,0,0
20260429,20260430,20260501,20260517__OpenAI__GPT4o__LinearNeutral,-291.18,-207.98,-83.2,503,503,503,0,0
20260430,20260501,20260504,20260517__OpenAI__GPT4o__LinearNeutral,161.12,-118.73,279.85,503,503,503,0,0
20260501,20260504,20260505,20260517__OpenAI__GPT4o__LinearNeutral,116.74,228.14,-111.4,503,503,503,0,0
20260504,20260505,20260506,20260517__OpenAI__GPT4o__LinearNeutral,653.23,583.05,70.18,503,503,503,0,0
20260505,20260506,20260507,20260517__OpenAI__GPT4o__LinearNeutral,-66.91,-201.3,134.39,503,503,503,0,0
20260506,20260507,20260508,20260517__OpenAI__GPT4o__LinearNeutral,60.87,34.85,26.02,503,503,503,0,0
20260507,20260508,20260511,20260517__OpenAI__GPT4o__LinearNeutral,504.59,204.32,300.28,503,503,503,0,0
20260508,20260511,20260512,20260517__OpenAI__GPT4o__LinearNeutral,33.63,44.03,-10.4,503,503,503,0,0
20260511,20260512,20260513,20260517__OpenAI__GPT4o__LinearNeutral,-63.74,-256.61,192.86,503,503,503,0,0
20260512,20260513,20260514,20260517__OpenAI__GPT4o__LinearNeutral,-56.21,83.03,-139.24,503,503,503,0,0
20260513,20260514,20260515,20260517__OpenAI__GPT4o__LinearNeutral,17.44,-264.43,281.88,503,503,503,0,0
20260514,20260515,20260518,20260517__OpenAI__GPT4o__LinearNeutral,-144.83,210.34,-355.17,503,503,503,0,0
20260515,20260518,20260519,20260517__OpenAI__GPT4o__LinearNeutral,40.16,-141.71,181.87,503,503,503,0,0
20260518,20260519,20260520,20260517__OpenAI__GPT4o__LinearNeutral,330.82,531.53,-200.71,503,503,503,0,0
