ranking_date,entry_date,exit_date,strategy_id,total_pnl,long_pnl,short_pnl,n_positions,n_portfolio_universe,n_ranked_in_universe,n_ranked_ignored,n_missing_rankings
20260430,20260501,20260504,20260517__OpenAI__GPT5_4_mini__LinearNeutral,-103.17,-244.16,140.99,503,503,503,0,0
20260501,20260504,20260505,20260517__OpenAI__GPT5_4_mini__LinearNeutral,-117.62,133.8,-251.42,503,503,503,0,0
20260504,20260505,20260506,20260517__OpenAI__GPT5_4_mini__LinearNeutral,365.65,443.44,-77.79,503,503,503,0,0
20260505,20260506,20260507,20260517__OpenAI__GPT5_4_mini__LinearNeutral,79.62,-93.2,172.82,503,503,503,0,0
20260506,20260507,20260508,20260517__OpenAI__GPT5_4_mini__LinearNeutral,-413.72,-220.55,-193.17,503,503,503,0,0
20260507,20260508,20260511,20260517__OpenAI__GPT5_4_mini__LinearNeutral,326.45,60.95,265.49,503,503,503,0,0
20260508,20260511,20260512,20260517__OpenAI__GPT5_4_mini__LinearNeutral,141.53,101.52,40.01,503,503,503,0,0
20260511,20260512,20260513,20260517__OpenAI__GPT5_4_mini__LinearNeutral,-248.66,-345.66,97.0,503,503,503,0,0
20260512,20260513,20260514,20260517__OpenAI__GPT5_4_mini__LinearNeutral,-14.17,100.25,-114.42,503,503,503,0,0
20260513,20260514,20260515,20260517__OpenAI__GPT5_4_mini__LinearNeutral,127.16,-189.35,316.51,503,503,503,0,0
20260514,20260515,20260518,20260517__OpenAI__GPT5_4_mini__LinearNeutral,330.12,432.27,-102.15,503,503,503,0,0
20260515,20260518,20260519,20260517__OpenAI__GPT5_4_mini__LinearNeutral,155.98,-58.28,214.25,503,503,503,0,0
20260518,20260519,20260520,20260517__OpenAI__GPT5_4_mini__LinearNeutral,341.46,491.05,-149.59,503,503,503,0,0
