ranking_date,entry_date,exit_date,strategy_id,total_pnl,long_pnl,short_pnl,n_positions,n_portfolio_universe,n_ranked_in_universe,n_ranked_ignored,n_missing_rankings
20260401,20260402,20260406,20260517__OpenAI__O3__LinearNeutral,110.73,202.62,-91.88,503,503,503,0,0
20260402,20260406,20260407,20260517__OpenAI__O3__LinearNeutral,-107.88,-136.11,28.22,503,503,503,0,0
20260406,20260407,20260408,20260517__OpenAI__O3__LinearNeutral,-117.63,731.36,-848.99,503,503,503,0,0
20260407,20260408,20260409,20260517__OpenAI__O3__LinearNeutral,-269.54,-141.24,-128.3,503,503,503,0,0
20260408,20260409,20260410,20260517__OpenAI__O3__LinearNeutral,35.4,-249.05,284.45,503,503,503,0,0
20260409,20260410,20260413,20260517__OpenAI__O3__LinearNeutral,418.55,664.0,-245.45,503,503,503,0,0
20260410,20260413,20260414,20260517__OpenAI__O3__LinearNeutral,-73.3,97.36,-170.67,503,503,503,0,0
20260413,20260414,20260415,20260517__OpenAI__O3__LinearNeutral,485.69,327.8,157.89,503,503,503,0,0
20260414,20260415,20260416,20260517__OpenAI__O3__LinearNeutral,170.08,269.68,-99.6,503,503,503,0,0
20260415,20260416,20260417,20260517__OpenAI__O3__LinearNeutral,113.87,442.8,-328.93,503,503,503,0,0
20260416,20260417,20260420,20260517__OpenAI__O3__LinearNeutral,27.56,111.17,-83.61,503,503,503,0,0
20260417,20260420,20260421,20260517__OpenAI__O3__LinearNeutral,-40.7,-202.66,161.96,503,503,503,0,0
20260420,20260421,20260422,20260517__OpenAI__O3__LinearNeutral,236.93,106.43,130.5,503,503,503,0,0
20260421,20260422,20260423,20260517__OpenAI__O3__LinearNeutral,-266.11,-107.99,-158.12,503,503,503,0,0
20260422,20260423,20260424,20260517__OpenAI__O3__LinearNeutral,-46.57,-77.34,30.78,503,503,503,0,0
20260423,20260424,20260427,20260517__OpenAI__O3__LinearNeutral,-108.29,-137.23,28.93,503,503,503,0,0
20260424,20260427,20260428,20260517__OpenAI__O3__LinearNeutral,-359.22,-297.42,-61.81,503,503,503,0,0
20260427,20260428,20260429,20260517__OpenAI__O3__LinearNeutral,80.47,-41.14,121.6,503,503,503,0,0
20260428,20260429,20260430,20260517__OpenAI__O3__LinearNeutral,226.63,590.55,-363.91,503,503,503,0,0
20260429,20260430,20260501,20260517__OpenAI__O3__LinearNeutral,-197.04,-178.36,-18.67,503,503,503,0,0
20260430,20260501,20260504,20260517__OpenAI__O3__LinearNeutral,-26.96,-204.49,177.52,503,503,503,0,0
20260501,20260504,20260505,20260517__OpenAI__O3__LinearNeutral,80.44,274.44,-194.01,503,503,503,0,0
20260504,20260505,20260506,20260517__OpenAI__O3__LinearNeutral,398.04,482.57,-84.54,503,503,503,0,0
20260505,20260506,20260507,20260517__OpenAI__O3__LinearNeutral,126.87,-97.43,224.3,503,503,503,0,0
20260506,20260507,20260508,20260517__OpenAI__O3__LinearNeutral,-121.72,-66.35,-55.38,503,503,503,0,0
20260507,20260508,20260511,20260517__OpenAI__O3__LinearNeutral,383.91,139.26,244.65,503,503,503,0,0
20260508,20260511,20260512,20260517__OpenAI__O3__LinearNeutral,-46.05,-26.17,-19.87,503,503,503,0,0
20260511,20260512,20260513,20260517__OpenAI__O3__LinearNeutral,-261.88,-343.02,81.13,503,503,503,0,0
20260512,20260513,20260514,20260517__OpenAI__O3__LinearNeutral,13.59,136.26,-122.67,503,503,503,0,0
20260513,20260514,20260515,20260517__OpenAI__O3__LinearNeutral,62.87,-222.82,285.7,503,503,503,0,0
20260514,20260515,20260518,20260517__OpenAI__O3__LinearNeutral,189.11,406.14,-217.03,503,503,503,0,0
20260515,20260518,20260519,20260517__OpenAI__O3__LinearNeutral,14.95,-128.38,143.33,503,503,503,0,0
20260518,20260519,20260520,20260517__OpenAI__O3__LinearNeutral,482.58,606.58,-124.01,503,503,503,0,0
20260519,20260520,20260521,20260517__OpenAI__O3__LinearNeutral,196.43,241.54,-45.11,502,503,503,0,0
20260520,20260521,20260522,20260517__OpenAI__O3__LinearNeutral,66.69,231.15,-164.46,502,503,503,0,0
20260521,20260522,20260526,20260517__OpenAI__O3__LinearNeutral,13.01,68.64,-55.64,502,503,503,0,0
20260522,20260526,20260527,20260517__OpenAI__O3__LinearNeutral,-54.68,-0.28,-54.39,503,503,503,1,0
20260526,20260527,20260528,20260517__OpenAI__O3__LinearNeutral,316.81,283.21,33.6,503,503,503,1,0
20260527,20260528,20260529,20260517__OpenAI__O3__LinearNeutral,261.22,140.1,121.12,503,503,503,1,0
20260528,20260529,20260601,20260517__OpenAI__O3__LinearNeutral,178.79,135.65,43.15,503,503,503,1,0
20260529,20260601,20260602,20260517__OpenAI__O3__LinearNeutral,164.1,107.69,56.41,503,503,503,1,0
20260601,20260602,20260603,20260517__OpenAI__O3__LinearNeutral,-95.11,-224.0,128.88,503,503,503,1,0
20260602,20260603,20260604,20260517__OpenAI__O3__LinearNeutral,-48.69,264.92,-313.6,503,503,503,1,0
20260603,20260604,20260605,20260517__OpenAI__O3__LinearNeutral,-219.55,-407.42,187.87,502,503,503,1,0
20260604,20260605,20260608,20260517__OpenAI__O3__LinearNeutral,281.01,83.86,197.14,503,505,504,0,1
20260605,20260608,20260609,20260517__OpenAI__O3__LinearNeutral,-698.38,-159.46,-538.92,503,505,505,0,0
20260608,20260609,20260610,20260517__OpenAI__O3__LinearNeutral,-310.02,-532.14,222.12,503,503,503,2,0
