strategy_id,sharpe,cumulative_pnl,max_drawdown,win_rate,avg_daily_pnl,n_days
20260517__Anthropic__Sonnet4_6__LinearNeutral,3.345,10614.9,-2097.13,0.579,93.11,114
20260517__OpenAI__O3__LinearNeutral,3.317,7245.57,-1325.56,0.588,63.56,114
20260517__Anthropic__Opus4_6__LinearNeutral,2.922,7696.18,-1406.55,0.561,67.51,114
20260517__OpenAI__GPT5_4__LinearNeutral,2.727,5650.17,-1262.96,0.588,49.56,114
20260517__OpenAI__GPT5_5__LinearNeutral,2.508,5299.17,-1705.99,0.614,46.48,114
20260517__OpenAI__GPT5_4_mini__LinearNeutral,2.092,3584.65,-1033.53,0.579,31.44,114
20260517__Anthropic__Opus4_8__LinearNeutral,2.046,4955.29,-1654.33,0.561,43.47,114
20260517__Google__Gemini3_1Pro__LinearNeutral,2.005,6242.85,-1908.14,0.526,54.76,114
20260517__Google__Gemini2_5Flash__LinearNeutral,1.979,5384.01,-1706.59,0.535,47.23,114
20260517__Google__Gemini2_5Pro__LinearNeutral,1.817,4770.1,-2679.44,0.544,41.84,114
20260517__Google__Gemini3Flash__LinearNeutral,1.653,4518.63,-2808.14,0.518,39.64,114
20260517__OpenAI__GPT4o__LinearNeutral,1.45,3157.88,-1813.69,0.632,27.7,114
20260517__Anthropic__Opus4_7__LinearNeutral,0.91,2354.2,-1909.72,0.553,20.65,114
20260517__OpenAI__O4_mini__LinearNeutral,0.652,1583.8,-1996.63,0.57,13.89,114
20260517__OpenAI__GPT5_3_Codex__LinearNeutral,0.625,1465.23,-1600.96,0.544,12.85,114
20260517__Anthropic__Haiku4_5__LinearNeutral,-1.273,-3212.75,-6712.92,0.465,-28.18,114
