ranking_date,strategy_id,ticker,score,portfolio_rank,position_dollars,ranking_status,strategy_rank,portfolio_universe_source,portfolio_universe_date,n_portfolio_universe,n_ranked_in_universe,n_ranked_ignored,n_missing_rankings
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,CBOE,0.39598464,1,250.0,ranked,1,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,PH,0.36170674,2,249.0,ranked,2,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,CME,0.3554912,3,248.01,ranked,3,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,CEG,0.35443743,4,247.01,ranked,4,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,INTC,0.34418095,5,246.02,ranked,5,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,TSN,0.33997827,6,245.02,ranked,6,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,VTRS,0.33796315,7,244.02,ranked,7,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,TPL,0.33527914,8,243.03,ranked,8,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,KEYS,0.33260809,9,242.03,ranked,9,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,CASY,0.32419147,10,241.04,ranked,10,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,BMY,0.31971662,11,240.04,ranked,11,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,SO,0.31067957,12,239.04,ranked,12,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,TXN,0.30944661,13,238.05,ranked,13,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,KR,0.30885436,14,237.05,ranked,14,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,ICE,0.30479707,15,236.06,ranked,15,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,GEV,0.29387225,16,235.06,ranked,16,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,HII,0.28992879,17,234.06,ranked,17,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,DVA,0.28890602,18,233.07,ranked,18,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,CMG,0.28797341,19,232.07,ranked,19,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,ROL,0.28488198,20,231.08,ranked,20,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,CF,0.28175787,21,230.08,ranked,21,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,STZ,0.27717313,22,229.08,ranked,22,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,CFG,0.2769111,23,228.09,ranked,23,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,PM,0.27643775,24,227.09,ranked,24,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,WMB,0.2746007,25,226.1,ranked,25,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,FDX,0.26963784,26,225.1,ranked,26,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,WELL,0.26534106,27,224.1,ranked,27,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,LITE,0.26162639,28,223.11,ranked,28,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,ATO,0.25879079,29,222.11,ranked,29,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,TFC,0.25646123,30,221.12,ranked,30,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,TAP,0.25615863,31,220.12,ranked,31,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,TRV,0.24863066,32,219.12,ranked,32,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,SHW,0.24834891,33,218.13,ranked,33,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,PWR,0.24716891,34,217.13,ranked,34,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,Q,0.24704832,35,216.14,ranked,35,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,IFF,0.23780616,36,215.14,ranked,36,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,KEY,0.23750411,37,214.14,ranked,37,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,CB,0.23471529,38,213.15,ranked,38,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,EG,0.23440705,39,212.15,ranked,39,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,MCHP,0.23243419,40,211.16,ranked,40,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,BLK,0.23064786,41,210.16,ranked,41,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,MRK,0.2289376,42,209.16,ranked,42,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,RMD,0.22844565,43,208.17,ranked,43,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,PG,0.22180353,44,207.17,ranked,44,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,HCA,0.21936747,45,206.18,ranked,45,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,AMZN,0.21810126,46,205.18,ranked,46,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,COST,0.21759522,47,204.18,ranked,47,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,HIG,0.21405806,48,203.19,ranked,48,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,NEE,0.21044763,49,202.19,ranked,49,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,FIX,0.2081423,50,201.2,ranked,50,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,BALL,0.20741537,51,200.2,ranked,51,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,MDT,0.20728464,52,199.2,ranked,52,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,ETR,0.20658306,53,198.21,ranked,53,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,SLB,0.20628666,54,197.21,ranked,54,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,BF-B,0.20554169,55,196.22,ranked,55,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,PLD,0.20542505,56,195.22,ranked,56,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,LYB,0.2053146,57,194.22,ranked,57,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,APD,0.20491225,58,193.23,ranked,58,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,JBL,0.20457978,59,192.23,ranked,59,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,NI,0.20352432,60,191.24,ranked,60,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,WEC,0.20125336,61,190.24,ranked,61,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
20260601,20260517__Anthropic__Opus4_6__LinearNeutral,GLW,0.2007772,62,189.24,ranked,62,AgentStockBenchmarkResults/data/universe/20260601.txt,20260601,503,503,1,0
