ranking_date,strategy_id,ticker,score,portfolio_rank,position_dollars,ranking_status,strategy_rank,portfolio_universe_source,portfolio_universe_date,n_portfolio_universe,n_ranked_in_universe,n_ranked_ignored,n_missing_rankings
20260622,20260517__Google__Gemini3Flash__LinearNeutral,LYB,0.11503906,1,250.0,ranked,1,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,DOW,0.10326172,2,249.0,ranked,2,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,EBAY,0.10236328,3,248.01,ranked,3,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,AKAM,0.09597656,4,247.01,ranked,4,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,VRSN,0.08964844,5,246.02,ranked,5,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,KHC,0.08892578,6,245.02,ranked,6,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,MCD,0.08763672,7,244.02,ranked,7,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,LMT,0.08732422,8,243.03,ranked,8,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,GOOGL,0.08636719,9,242.03,ranked,9,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,GOOG,0.08599609,10,241.04,ranked,10,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,MAR,0.08595703,11,240.04,ranked,11,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,BDX,0.08160156,12,239.04,ranked,13,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,PM,0.07794922,13,238.05,ranked,14,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,PFE,0.07675781,14,237.05,ranked,15,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,BG,0.07597656,15,236.06,ranked,16,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,NFLX,0.07583984,16,235.06,ranked,17,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,TXT,0.07529297,17,234.06,ranked,18,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,LHX,0.07453125,18,233.07,ranked,20,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,MDLZ,0.07265625,19,232.07,ranked,21,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,DGX,0.07259766,20,231.08,ranked,22,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,AMZN,0.07185547,21,230.08,ranked,23,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,CHD,0.07123047,22,229.08,ranked,25,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,NOC,0.0703125,23,228.09,ranked,26,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,HII,0.06984375,24,227.09,ranked,27,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,VICI,0.06980469,25,226.1,ranked,28,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,DXCM,0.06673828,26,225.1,ranked,30,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,CVX,0.06595703,27,224.1,ranked,31,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,VZ,0.06568359,28,223.11,ranked,32,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,VTRS,0.0653125,29,222.11,ranked,33,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,OXY,0.06517578,30,221.12,ranked,34,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,ORLY,0.06462891,31,220.12,ranked,35,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,AON,0.06423828,32,219.12,ranked,36,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,MSI,0.06333984,33,218.13,ranked,37,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,AES,0.06259766,34,217.13,ranked,38,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,DPZ,0.06246094,35,216.14,ranked,39,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,SJM,0.06232422,36,215.14,ranked,40,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,MRSH,0.06220703,37,214.14,ranked,41,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,ALB,0.06201172,38,213.15,ranked,42,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,PEP,0.06132813,39,212.15,ranked,43,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,HSIC,0.06103516,40,211.16,ranked,44,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,CLX,0.05945313,41,210.16,ranked,45,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,NEE,0.05888672,42,209.16,ranked,46,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,GD,0.05878906,43,208.17,ranked,47,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,SYY,0.05869141,44,207.17,ranked,48,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,XOM,0.05798828,45,206.18,ranked,49,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,NWS,0.05785156,46,205.18,ranked,50,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,HLT,0.05740234,47,204.18,ranked,51,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,LH,0.05730469,48,203.19,ranked,52,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,SOLV,0.05701172,49,202.19,ranked,53,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
20260622,20260517__Google__Gemini3Flash__LinearNeutral,COST,0.05699219,50,201.2,ranked,54,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260622.txt,20260622,503,503,9,0
