ranking_date,strategy_id,ticker,score,portfolio_rank,position_dollars,ranking_status,strategy_rank,portfolio_universe_source,portfolio_universe_date,n_portfolio_universe,n_ranked_in_universe,n_ranked_ignored,n_missing_rankings
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,EQT,0.85078125,1,250.0,ranked,1,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,BNY,0.84140625,2,249.0,ranked,2,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,VTR,0.82226563,3,248.01,ranked,3,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,EXE,0.81914063,4,247.01,ranked,4,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,STT,0.80429688,5,246.02,ranked,5,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,GPC,0.79257812,6,245.02,ranked,6,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,COR,0.7890625,7,244.02,ranked,7,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,VZ,0.78203125,8,243.03,ranked,8,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,TRGP,0.78164063,9,242.03,ranked,9,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,CTVA,0.78007813,10,241.04,ranked,10,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,IVZ,0.7796875,11,240.04,ranked,11,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,CMG,0.77929688,12,239.04,ranked,12,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,NTRS,0.77890625,13,238.05,ranked,13,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,WELL,0.77148438,14,237.05,ranked,14,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,COP,0.76875,15,236.06,ranked,15,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,BAC,0.7671875,16,235.06,ranked,16,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,HUM,0.76640625,17,234.06,ranked,17,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,OKE,0.76445313,18,233.07,ranked,18,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,GPN,0.7640625,19,232.07,ranked,19,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,JKHY,0.75742188,20,231.08,ranked,20,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,RF,0.75585938,21,230.08,ranked,21,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,MTB,0.75195313,22,229.08,ranked,22,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,PNC,0.7515625,23,228.09,ranked,23,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,HIG,0.75039063,24,227.09,ranked,24,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,CEG,0.74882813,25,226.1,ranked,25,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,C,0.74726562,26,225.1,ranked,26,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,ROP,0.74648437,27,224.1,ranked,27,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,OXY,0.74375,28,223.11,ranked,28,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,USB,0.7421875,29,222.11,ranked,29,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,SLB,0.74101563,30,221.12,ranked,30,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,SCHW,0.73671875,31,220.12,ranked,31,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,RJF,0.73359375,32,219.12,ranked,32,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,CAH,0.73164063,33,218.13,ranked,33,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,WFC,0.73125,34,217.13,ranked,34,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,AWK,0.73085938,35,216.14,ranked,35,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,BAX,0.72695313,36,215.14,ranked,36,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,DVN,0.72460938,37,214.14,ranked,37,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,FANG,0.72070312,38,213.15,ranked,38,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,ICE,0.71953125,39,212.15,ranked,39,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,RSG,0.71914062,40,211.16,ranked,40,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,AMP,0.71679688,41,210.16,ranked,41,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,CVS,0.71679688,42,209.16,ranked,42,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,TPL,0.71601562,43,208.17,ranked,43,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,BG,0.71523438,44,207.17,ranked,44,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,VMRK,0.71523438,45,206.18,ranked,45,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,CVX,0.71328125,46,205.18,ranked,46,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,TROW,0.71328125,47,204.18,ranked,47,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,EXPD,0.7125,48,203.19,ranked,48,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,CSX,0.71210938,49,202.19,ranked,49,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,O,0.71171875,50,201.2,ranked,50,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,TFC,0.71132813,51,200.2,ranked,51,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,APD,0.70625,52,199.2,ranked,52,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,HOOD,0.70546875,53,198.21,ranked,53,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,XOM,0.70546875,54,197.21,ranked,54,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,CMCSA,0.70507813,55,196.22,ranked,55,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,CPAY,0.70507812,56,195.22,ranked,56,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,BR,0.70429687,57,194.22,ranked,57,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,HSIC,0.70390625,58,193.23,ranked,58,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,SYY,0.70390625,59,192.23,ranked,59,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,HAL,0.70234375,60,191.24,ranked,60,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,BMY,0.6984375,61,190.24,ranked,61,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,EL,0.69648438,62,189.24,ranked,62,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,JPM,0.69453125,63,188.25,ranked,63,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,MKC,0.69453125,64,187.25,ranked,64,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,PCAR,0.69414063,65,186.25,ranked,65,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,CFG,0.69375,66,185.26,ranked,66,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,KIM,0.68945312,67,184.26,ranked,67,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,FRT,0.68867188,68,183.27,ranked,68,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,PEP,0.68476563,69,182.27,ranked,69,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,NEM,0.68164062,70,181.27,ranked,70,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
20260917,20260517__Google__Gemini2_5Pro__LinearNeutral,BEN,0.68125,71,180.28,ranked,71,/home/hatch/workspace/AgentStockBenchmarkResults/data/universe/20260917.txt,20260917,503,503,9,0
